COIN;	timeOpen;	timeClose;	timeHigh;	timeLow;	OPEN;			HIGH;			LOW;			CLOSE;			VOLUME
ETH;	4/15/2024;	4/15/2024;	4/15/2024;	4/16/2024;	3736.104905;	3780.894495;	3468.079304;	3522.8602;		20199855932
ETH;	4/16/2024;	4/16/2024;	4/16/2024;	4/17/2024;	3882.856819;	3928.775574;	3571.774698;	3735.220255;	33505075433
ETH;	4/17/2024;	4/17/2024;	4/17/2024;	4/18/2024;	4005.745187;	4011.10277;		3721.788672;	3883.140356;	25434810823
ETH;	4/18/2024;	4/18/2024;	4/18/2024;	4/19/2024;	3980.265151;	4083.007249;	3936.627189;	4006.456952;	22028114691
ETH;	4/19/2024;	4/19/2024;	4/19/2024;	4/20/2024;	4066.690353;	4092.284142;	3831.889857;	3980.273244;	26917010932
ETH;	4/20/2024;	4/20/2024;	4/20/2024;	4/21/2024;	3881.237735;	4087.04997;		3745.125247;	4066.44499;		28806262507
ETH;	4/21/2024;	4/21/2024;	4/21/2024;	4/22/2024;	3915.59061;		3968.723751;	3800.564417;	3881.193189;	15783924355
ETH;	4/22/2024;	4/22/2024;	4/22/2024;	4/23/2024;	3892.119246;	3950.396448;	3880.659028;	3915.418867;	11926623780
ETH;	4/23/2024;	4/23/2024;	4/23/2024;	4/24/2024;	3874.830822;	3998.826297;	3828.363362;	3892.061139;	26135487051
ETH;	4/24/2024;	4/24/2024;	4/24/2024;	4/25/2024;	3818.311055;	3939.593997;	3738.685303;	3874.347702;	22457177587
ETH;	4/25/2024;	4/25/2024;	4/25/2024;	4/26/2024;	3554.067822;	3901.434321;	3502.802469;	3819.226313;	34938642613
ETH;	4/26/2024;	4/26/2024;	4/26/2024;	4/27/2024;	3631.92894;		3828.159598;	3224.119444;	3554.964648;	47706899137
ETH;	4/27/2024;	4/27/2024;	4/27/2024;	4/28/2024;	3489.340085;	3641.459219;	3446.017496;	3630.433819;	26772963830
ETH;	4/28/2024;	4/28/2024;	4/28/2024;	4/29/2024;	3422.875228;	3491.168524;	3372.214128;	3490.993637;	13643324467
ETH;	4/29/2024;	4/29/2024;	4/29/2024;	4/30/2024;	3436.159127;	3459.747409;	3398.898991;	3422.049921;	12024340617
ETH;	4/30/2024;	4/30/2024;	4/30/2024;	4/30/2024;	3215.381183;	3249.378485;	2918.228869;	3012.286744;	18266894653
ETH;	5/1/2024;	5/1/2024;	5/1/2024;	5/1/2024;	3011.015665;	3020.173458;	2815.923242;	2969.784787;	20005057445
ETH;	5/2/2024;	5/2/2024;	5/2/2024;	5/2/2024;	2969.79434;		3015.05037;		2894.329781;	2988.168507;	13163903903
